Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark
DIXON,false,24.32,0.284,15.94,436,61,210,48.2,0,0,155,35.6,71,16.3,56,15,3.9,10.16,-5.89,13.7,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence
PERSISTENT,false,3.91,0.13,-11.34,464,51.5,178,38.4,0,0,208,44.8,78,16.8,61,17,1.87,9.46,-6.2,14.3,2015-09-18,2026-07-13,10.8,
CDSL,false,3.57,0.082,1.87,407,44,146,35.9,0,0,206,50.6,55,13.5,33,22,1,9.97,-6.04,12.2,2017-06-30,2026-07-13,9,limited history: 9.0y (<10y) - lower confidence
CUMMINSIND,true,3.4,0.068,5.08,400,46,113,28.2,0,0,196,49,91,22.8,71,20,1.07,8.52,-5.27,15.8,2015-09-18,2026-07-13,10.8,
ADANIENT,true,2.17,0.035,42.3,552,43.8,185,33.5,0,0,298,54,69,12.5,57,12,0.42,9.48,-6.66,11.8,2015-09-18,2026-07-13,10.8,
PAYTM,false,1.74,0.031,15.67,197,43.1,66,33.5,0,0,97,49.2,34,17.3,19,15,0.42,9.12,-6.19,13.7,2021-11-18,2026-07-13,4.6,limited history: 4.6y (<10y) - lower confidence
YESBANK,false,1.44,0.024,16.89,246,45.1,76,30.9,0,0,120,48.8,50,20.3,35,15,0.34,8.55,-6.42,14,2015-09-18,2026-07-13,10.8,
HFCL,true,1.3,0.022,137.62,386,42.7,149,38.6,0,0,211,54.7,26,6.7,16,10,0.18,10.35,-7.42,8.2,2015-09-18,2026-07-13,10.8,
INFY,false,0.92,0.041,-19.64,285,49.5,38,13.3,0,0,116,40.7,131,46,103,28,0.8,5.53,-3.83,19.6,2015-09-18,2026-07-13,10.8,
TATAPOWER,false,0.86,0.042,-15.82,305,45.2,103,33.8,0,0,159,52.1,43,14.1,35,8,0.52,8.77,-6.3,12.3,2015-09-18,2026-07-13,10.8,
ITC,false,0.71,0.026,-10.84,217,48.8,24,11.1,0,0,92,42.4,101,46.5,82,19,0.52,5.57,-4.32,19.9,2015-09-18,2026-07-13,10.8,
MARUTI,false,0,-0.015,0.01,247,40.5,29,11.7,0,0,132,53.4,86,34.8,71,15,-0.26,6.3,-4.72,17.6,2015-09-18,2026-07-10,10.8,
RELIANCE,false,0,-0.004,-9.01,251,37.1,43,17.1,0,0,136,54.2,72,28.7,50,22,-0.07,7.32,-4.42,16.3,2015-09-18,2026-07-13,10.8,
HDFCBANK,false,0,-0.03,-3.28,122,36.1,17,13.9,0,0,60,49.2,45,36.9,27,18,-0.51,5.98,-4.17,16.8,2015-09-18,2026-07-13,10.8,
HINDUNILVR,false,0,-0.004,-6.19,199,47.7,15,7.5,0,0,85,42.7,99,49.7,80,19,-0.08,4.5,-4.27,20.3,2015-09-18,2026-07-13,10.8,
TCS,false,0,-0.014,-19.4,155,40,25,16.1,0,0,69,44.5,61,39.4,37,24,-0.26,6.6,-4.84,18.6,2015-09-18,2026-07-13,10.8,
BEL,false,0,-0.059,-14.17,508,32.7,84,16.5,0,0,298,58.7,126,24.8,82,44,-0.93,8.11,-5.32,15.9,2015-09-18,2026-07-13,10.8,
KEC,false,0,-0.034,-16.42,459,38.6,136,29.6,0,0,255,55.6,68,14.8,41,27,-0.5,9.27,-6.63,14.5,2015-09-18,2026-07-10,10.8,
INDIGO,false,0,-0.057,12.18,429,36.6,95,22.1,0,0,258,60.1,76,17.7,62,14,-0.79,8.46,-6.13,13.9,2015-11-10,2026-07-13,10.7,
LICHSGFIN,false,0,-0.082,-0.41,290,32.8,74,25.5,0,0,176,60.7,40,13.8,21,19,-1.06,7.96,-5.46,12.9,2015-09-18,2026-07-10,10.8,
BALRAMCHIN,true,0,-0.078,13.28,480,37.1,121,25.2,0,0,264,55,95,19.8,57,38,-1.04,8.47,-6.65,13.4,2015-09-18,2026-07-10,10.8,
MOTHERSON,false,0,-0.02,10.66,425,40.2,100,23.5,0,0,230,54.1,95,22.4,71,24,-0.31,8.05,-5.94,15.4,2015-09-18,2026-07-13,10.8,
CEATLTD,false,0,-0.039,0.74,342,36.5,102,29.8,0,0,193,56.4,47,13.7,23,24,-0.52,9.74,-6.43,13.4,2015-09-18,2026-07-13,10.8,
IDEA,true,0,-0.129,41.94,253,39.9,100,39.5,0,0,140,55.3,13,5.1,1,12,-1,10.3,-8.52,7.8,2015-09-18,2026-07-13,10.8,
