Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark
DIXON,false,15.43,0.254,15.94,436,43.3,143,32.8,51,11.7,241,55.3,1,0.2,0,1,3.19,12.01,-3.56,12.6,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence
HFCL,true,6.48,0.13,137.62,386,35.8,129,33.4,9,2.3,245,63.5,3,0.8,0,3,1.06,12.15,-5.11,8.1,2015-09-18,2026-07-13,10.8,
CDSL,false,3.79,0.12,1.87,407,31.9,108,26.5,22,5.4,275,67.6,2,0.5,0,2,1.2,12.08,-3.91,10,2017-06-30,2026-07-13,9,limited history: 9.0y (<10y) - lower confidence
TATAPOWER,false,3.76,0.233,-15.82,305,35.4,89,29.2,20,6.6,196,64.3,0,0,0,0,2.36,13.28,-3.62,10.2,2015-09-18,2026-07-13,10.8,
PERSISTENT,false,2.51,0.106,-11.34,464,40.5,125,26.9,65,14,274,59.1,0,0,0,0,1.18,8.48,-3.8,11.1,2015-09-18,2026-07-13,10.8,
ADANIENT,true,2.43,0.05,42.3,552,34.2,131,23.7,59,10.7,360,65.2,2,0.4,0,2,0.49,9.47,-4.18,9.9,2015-09-18,2026-07-13,10.8,
MOTHERSON,false,1.11,0.024,10.66,425,36.7,74,17.4,85,20,265,62.4,1,0.2,0,1,0.28,6.67,-3.43,11.5,2015-09-18,2026-07-13,10.8,
RELIANCE,false,0.75,0.044,-9.01,251,27.1,31,12.4,39,15.5,181,72.1,0,0,0,0,0.44,8.33,-2.49,10,2015-09-18,2026-07-13,10.8,
INFY,false,0.48,0.027,-19.64,285,38.9,28,9.8,86,30.2,168,58.9,3,1.1,0,3,0.37,4.79,-2.45,13.8,2015-09-18,2026-07-13,10.8,
TCS,false,0.26,0.019,-19.4,155,33.5,23,14.8,30,19.4,100,64.5,2,1.3,0,2,0.19,5.54,-2.52,10,2015-09-18,2026-07-13,10.8,
CEATLTD,false,0.16,0.006,0.74,342,29.8,72,21.1,30,8.8,238,69.6,2,0.6,0,2,0.06,9.06,-3.77,10.5,2015-09-18,2026-07-13,10.8,
CUMMINSIND,true,0.09,0.003,5.08,400,29.8,63,15.8,61,15.2,275,68.8,1,0.2,0,1,0.03,7.1,-2.96,10,2015-09-18,2026-07-13,10.8,
HDFCBANK,false,0,-0.067,-3.28,122,27,9,7.4,26,21.3,87,71.3,0,0,0,0,-0.63,4.07,-2.37,9.3,2015-09-18,2026-07-13,10.8,
MARUTI,false,0,-0.036,0.01,247,30.4,15,6.1,61,24.7,170,68.8,1,0.4,0,1,-0.39,4.83,-2.66,10.7,2015-09-18,2026-07-10,10.8,
ITC,false,0,-0.059,-10.84,217,30.4,11,5.1,60,27.6,145,66.8,1,0.5,0,1,-0.63,3.79,-2.56,10.7,2015-09-18,2026-07-13,10.8,
HINDUNILVR,false,0,-0.048,-6.19,199,34.2,11,5.5,59,29.6,128,64.3,1,0.5,0,1,-0.52,2.84,-2.26,10.8,2015-09-18,2026-07-13,10.8,
BEL,false,0,-0.124,-14.17,508,23,48,9.4,76,15,381,75,3,0.6,0,3,-1.16,5.65,-3.2,9.3,2015-09-18,2026-07-13,10.8,
KEC,false,0,-0.004,-16.42,459,29.4,102,22.2,36,7.8,320,69.7,1,0.2,0,1,-0.04,9.59,-4.05,10.7,2015-09-18,2026-07-10,10.8,
INDIGO,false,0,-0.136,12.18,429,21.4,55,12.8,38,8.9,334,77.9,2,0.5,0,2,-1.16,7.25,-3.46,8.5,2015-11-10,2026-07-13,10.7,
LICHSGFIN,false,0,-0.081,-0.41,290,27.6,50,17.2,35,12.1,205,70.7,0,0,0,0,-0.69,5.78,-3.16,8.5,2015-09-18,2026-07-10,10.8,
BALRAMCHIN,true,0,-0.127,13.28,480,28.5,96,20,44,9.2,336,70,4,0.8,0,4,-1.2,6.4,-4.24,9.5,2015-09-18,2026-07-10,10.8,
YESBANK,false,0,-0.01,16.89,246,36.6,61,24.8,30,12.2,151,61.4,4,1.6,0,4,-0.11,6.55,-3.95,11,2015-09-18,2026-07-13,10.8,
IDEA,true,0,-0.193,41.94,253,34.8,86,34,2,0.8,162,64,3,1.2,0,3,-1.45,6.81,-5.86,7.5,2015-09-18,2026-07-13,10.8,
PAYTM,false,0,-0.025,15.67,197,30.5,47,23.9,15,7.6,135,68.5,0,0,0,0,-0.26,9.11,-4.36,10.2,2021-11-18,2026-07-13,4.6,limited history: 4.6y (<10y) - lower confidence
