Institution Rank,Stock,Expectancy%,Profit Factor,Reward Risk,Trades / Year,Profit Velocity,Signal Quality,Holding Efficiency,Winning Exit %,Losing Exit %,Edge Score,Reliability Score,Efficiency Score,Composite Score,Recommendation
1,DIXON,2.62,-2.18,-2.99,57.73,103.12,58.0,0.2,43.3,58.3,40.0,79.5,55.5,56.92,★ REJECT
2,PERSISTENT,1.41,-1.64,-2.33,50.19,66.12,53.0,0.12,41.7,58.3,36.0,82.5,48.25,54.72,★ REJECT
3,HFCL,1.35,-1.37,-2.31,45.74,80.03,53.0,0.16,37.2,65.9,36.0,82.5,48.25,54.72,★ REJECT
4,TATAPOWER,1.69,-1.64,-3.35,33.52,62.63,45.0,0.17,33.1,66.9,36.0,82.5,46.25,54.32,★ REJECT
5,ADANIENT,0.86,-1.3,-2.3,65.56,57.35,43.0,0.08,36.3,67.1,28.0,93.0,40.75,53.3,★ REJECT
6,CDSL,0.95,-1.35,-2.85,52.33,44.27,35.0,0.09,32.1,70.3,28.0,79.5,29.75,46.38,★ REJECT
7,RELIANCE,0.53,-1.3,-3.07,26.85,13.92,35.0,0.05,30.4,71.0,28.0,65.0,29.75,41.3,★ REJECT
8,CEATLTD,0.34,-1.13,-2.1,39.26,12.3,20.0,0.03,34.9,68.9,16.0,82.5,26.0,41.28,★ REJECT
9,CUMMINSIND,0.27,-1.13,-2.34,44.63,12.53,20.0,0.03,33.6,67.2,16.0,82.5,26.0,41.28,★ REJECT
10,INFY,0.11,-1.07,-1.85,30.37,2.62,28.0,0.01,37.5,68.1,16.0,82.5,22.0,40.47,★ REJECT
11,MOTHERSON,0.06,-1.03,-1.85,44.07,2.86,28.0,0.01,36.3,64.4,16.0,82.5,22.0,40.47,★ REJECT
12,IDEA,-1.47,-0.63,-1.16,29.63,-53.44,8.0,-0.17,35.0,70.5,0.0,82.5,17.0,32.28,★ REJECT
13,KEC,-0.23,-0.92,-2.25,45.28,-10.27,0.0,-0.02,29.7,71.1,0.0,82.5,15.0,31.87,★ REJECT
14,LICHSGFIN,-0.58,-0.75,-1.93,30.19,-21.19,0.0,-0.06,29.5,70.6,0.0,82.5,15.0,31.87,★ REJECT
15,BEL,-1.13,-0.54,-1.79,54.07,-69.5,0.0,-0.12,24.6,77.8,0.0,82.5,15.0,31.87,★ REJECT
16,INDIGO,-1.17,-0.57,-1.9,45.51,-62.34,0.0,-0.13,23.6,78.0,0.0,82.5,15.0,31.87,★ REJECT
17,BALRAMCHIN,-1.3,-0.59,-1.4,49.54,-70.62,0.0,-0.13,30.1,73.2,0.0,82.5,15.0,31.87,★ REJECT
18,YESBANK,-0.54,-0.8,-1.46,26.57,-13.78,8.0,-0.05,36.2,67.7,0.0,65.0,17.0,26.15,★ REJECT
19,HDFCBANK,-0.09,-0.94,-1.75,13.8,-1.19,0.0,-0.01,36.2,63.8,0.0,65.0,15.0,25.75,★ REJECT
20,TCS,-0.12,-0.93,-1.97,17.59,-2.09,0.0,-0.01,32.6,69.3,0.0,65.0,15.0,25.75,★ REJECT
21,MARUTI,-0.31,-0.83,-1.76,26.67,-8.06,0.0,-0.03,32.3,68.4,0.0,65.0,15.0,25.75,★ REJECT
22,HINDUNILVR,-0.74,-0.55,-1.15,21.67,-15.91,0.0,-0.07,32.9,67.7,0.0,65.0,15.0,25.75,★ REJECT
23,ITC,-0.89,-0.54,-1.3,23.89,-21.67,0.0,-0.08,31.4,69.2,0.0,65.0,15.0,25.75,★ REJECT
24,PAYTM,-0.28,-0.91,-2.08,45.65,-5.46,0.0,-0.03,31.4,68.6,0.0,56.0,15.0,22.6,★ REJECT
