Output_backtest_F_ATR_FT_Report,Output_backtest_F_ATR_Tr_Report,Output_backtest_F_Str_FT_Report,Output_backtest_F_Str_Tr_Report,Output_backtest_WF_ATR_FT_Report,Output_backtest_WF_ATR_Tr_Report,Output_backtest_WF_Str_FT_Report,Output_backtest_WF_Str_Tr_Report
ADANIENT,ADANIENT,ADANIENT,HFCL,ADANIENT,HFCL,ADANIENT,HFCL
HFCL,HFCL,PERSISTENT,ADANIENT,HFCL,ADANIENT,HFCL,ADANIENT
PERSISTENT,PERSISTENT,HFCL,PERSISTENT,PERSISTENT,PERSISTENT,PERSISTENT,PERSISTENT
DIXON,DIXON,DIXON,DIXON,DIXON,DIXON,CUMMINSIND,DIXON
BALRAMCHIN,BALRAMCHIN,CUMMINSIND,MOTHERSON,CUMMINSIND,BALRAMCHIN,DIXON,CUMMINSIND
MOTHERSON,MOTHERSON,MOTHERSON,CUMMINSIND,BALRAMCHIN,CUMMINSIND,BALRAMCHIN,IDEA
CUMMINSIND,CUMMINSIND,BALRAMCHIN,IDEA,MOTHERSON,MOTHERSON,ITC,MOTHERSON
CDSL,KEC,HINDUNILVR,YESBANK,ITC,KEC,INFY,BALRAMCHIN
KEC,YESBANK,TATAPOWER,BALRAMCHIN,CDSL,IDEA,MOTHERSON,CEATLTD
ITC,MARUTI,INFY,TATAPOWER,IDEA,YESBANK,HINDUNILVR,YESBANK
